Month,Avg. Players,Gain,% Gain,Peak Players
Apr-23,"3,856.40",386.2,11.13%,"6,429"
Mar-23,"3,470.20",-26.4,-0.76%,"6,313"
Feb-23,"3,496.70",-684.8,-16.38%,"6,328"
Jan-23,"4,181.40",389.4,10.27%,"6,837"
Dec-22,"3,792.00",-99.1,-2.55%,"6,090"
Nov-22,"3,891.10",-237.1,-5.74%,"6,940"
Oct-22,"4,128.20",457.7,12.47%,"7,442"
Sep-22,"3,670.50","-1,251.30",-25.42%,"6,943"
Aug-22,"4,921.80",202.5,4.29%,"8,921"
Jul-22,"4,719.30",788.6,20.06%,"7,580"
Jun-22,"3,930.70",461.9,13.32%,"6,800"
May-22,"3,468.80",107.7,3.20%,"5,722"
Apr-22,"3,361.10",-367.8,-9.86%,"5,825"
Mar-22,"3,728.90",-509,-12.01%,"6,481"
Feb-22,"4,237.90",-135.8,-3.10%,"7,071"
Jan-22,"4,373.60",418.3,10.58%,"7,231"
Dec-21,"3,955.30",104.3,2.71%,"6,388"
Nov-21,"3,851.10",-276.6,-6.70%,"6,476"
Oct-21,"4,127.70",-351.1,-7.84%,"7,626"
Sep-21,"4,478.80","-1,398.30",-23.79%,"8,000"
Aug-21,"5,877.10",466.6,8.62%,"10,129"
Jul-21,"5,410.50",668.6,14.10%,"8,528"
Jun-21,"4,741.90",258.8,5.77%,"7,666"
May-21,"4,483.10",718.1,19.07%,"7,869"
Apr-21,"3,765.10",-323.1,-7.90%,"6,486"
Mar-21,"4,088.10","-1,730.70",-29.74%,"7,099"
Feb-21,"5,818.80",-887.6,-13.24%,"10,597"
Jan-21,"6,706.40","2,482.80",58.78%,"13,448"
Dec-20,"4,223.60",10.2,0.24%,"9,004"
Nov-20,"4,213.40",220.2,5.51%,"7,545"
Oct-20,"3,993.20",759.5,23.49%,"8,957"
Sep-20,"3,233.70",-519.8,-13.85%,"5,189"
Aug-20,"3,753.50",9,0.24%,"6,292"
Jul-20,"3,744.40",241,6.88%,"6,020"
Jun-20,"3,503.50",-391.5,-10.05%,"5,809"
May-20,"3,894.90",-117.6,-2.93%,"5,821"
Apr-20,"4,012.60",689,20.73%,"6,306"
Mar-20,"3,323.60",554.3,20.02%,"6,082"
Feb-20,"2,769.30",-93.5,-3.27%,"4,809"
Jan-20,"2,862.80",-58,-1.99%,"4,757"
Dec-19,"2,920.90",-552.7,-15.91%,"5,317"
Nov-19,"3,473.60",669.4,23.87%,"6,768"
Oct-19,"2,804.20",226.9,8.80%,"6,525"
Sep-19,"2,577.30",-755,-22.66%,"4,789"
Aug-19,"3,332.30",-197.3,-5.59%,"5,868"
Jul-19,"3,529.60",444,14.39%,"6,379"
Jun-19,"3,085.60",450.1,17.08%,"5,286"
May-19,"2,635.50",399.6,17.87%,"5,104"
Apr-19,"2,235.90",-234.3,-9.48%,"4,138"
Mar-19,"2,470.20",-364.7,-12.87%,"4,641"
Feb-19,"2,834.90",-596.3,-17.38%,"5,344"
Jan-19,"3,431.30",-545.8,-13.72%,"6,666"
Dec-18,"3,977.10",312.6,8.53%,"6,998"
Nov-18,"3,664.50",63.4,1.76%,"6,995"
Oct-18,"3,601.10",618.9,20.75%,"8,844"
Sep-18,"2,982.20",-825,-21.67%,"5,407"
Aug-18,"3,807.20","-1,254.70",-24.79%,"6,935"
Jul-18,"5,061.90",-596.4,-10.54%,"9,743"
Jun-18,"5,658.30","2,393.50",73.31%,"10,846"
May-18,"3,264.80",238,7.86%,"5,911"
Apr-18,"3,026.70",-95.9,-3.07%,"5,413"
Mar-18,"3,122.60",-125.8,-3.87%,"5,712"
Feb-18,"3,248.40",-289.2,-8.17%,"6,037"
Jan-18,"3,537.60",29.5,0.84%,"6,405"
Dec-17,"3,508.10",174.6,5.24%,"6,217"
Nov-17,"3,333.40",-290,-8.00%,"6,472"
Oct-17,"3,623.40",-180.9,-4.76%,"7,356"
Sep-17,"3,804.40",127.2,3.46%,"7,327"
Aug-17,"3,677.20",-455.8,-11.03%,"7,561"
Jul-17,"4,133.00",576,16.19%,"7,335"
Jun-17,"3,557.00",603.9,20.45%,"7,023"
May-17,"2,953.10",201.1,7.31%,"5,350"
Apr-17,"2,752.00",319.6,13.14%,"5,370"
Mar-17,"2,432.40",-247,-9.22%,"4,578"
Feb-17,"2,679.40",-131.3,-4.67%,"4,961"
Jan-17,"2,810.70",323.5,13.01%,"5,066"
Dec-16,"2,487.20",246.1,10.98%,"4,323"
Nov-16,"2,241.10",63.4,2.91%,"4,500"
Oct-16,"2,177.70",-11,-0.50%,"4,536"
Sep-16,"2,188.60",-509.6,-18.89%,"4,047"
Aug-16,"2,698.20",4.8,0.18%,"4,801"
Jul-16,"2,693.40",88.2,3.39%,"4,501"
Jun-16,"2,605.20",333.3,14.67%,"4,367"
May-16,"2,271.90",16.4,0.73%,"4,158"
Apr-16,"2,255.50",-140.3,-5.86%,"4,217"
